thumbnail, index,class,attribute,niceName,filename,file,artist,contact link,wallet,fatContent(g),sodium(mg),meltingPoint(F),emission_amunt,eRotateMin,eRotateMax,eScale,pSize,pRotate,pScale
,0000,box,cardboard,Pizza Box,0000-box-cardboard,Y,Michael Sparber,,,,,451,1,-1,2,1,,,
,0500,paper,redchecker,Checker Wax Paper,0500-paper-redchecker,Y,Michael Sparber,,,,,451,1,-1,2,1,,,
,1000,crust,thin,Thin Crust,1000-crust-thin,Y,Michael Sparber,,,,,320,1,0,360,"0, 360",".95, 1",,
,1010,crust,thick,Thick Crust,1010-crust-thick,Y,Erick Stow,,,,,300,1,0,360,"0, 360",".95, 1",,
,1020,crust,moon,Moon Crust,1020-crust-moon,Y,Joel Fallerini,,,,,500,1,0,360,"0, 360",".95, 1",,
,1030,crust,glutenfree,,1030-crust-glutenfree,N,,,,,,,,,,,,,
,2000,sauce,tomato,Tomato Sauce,2000-sauce-tomato,Y,Jim,,,,,300,1,1,,"0, 360",".95, 1",,
,2010,sauce,pesto,Pesto Sauce,2010-sauce-pesto,Y,Didi Mx,,,,,180,1,1,,"0, 360",".95, 1",,
,2020,sauce,mud,,2020-sauce-mud,Y,,,,,,200,1,1,,"0, 360",".95, 1",,
,2030,sauce,bbq,BBQ Sauce,2030-sauce-bbq,Y,thom,,,,,265,1,1,,"0, 360",".95, 1",,
,2040,sauce,nutella,Nutella Sauce,2040-sauce-nutella,N,Kilroy,,,,,90,1,1,,"0, 360",".95, 1",,
,2050,sauce,white,White Sauce,2050-sauce-white,N,JenJoyRobal,,,,,100,1,1,,"0, 360",".95, 1",,
,2060,sauce,deepspace,Deep Space Sauce,2060-sauce-deepspace,Y,Joel Fallerini,,,,,1000,1,1,,"0, 360",".95, 1",,
,3000,cheese,mozzarella,Mozzarella,3000-cheese-mozzarella,Y,Erick Stow,,,,,130,,,,,,,
,3010,cheese,digitalvegan,Digital Vegan,3010-cheese-digitalvegan,Y,John Cabrera,,,,,,,,,,,,
,3020,cheese,fetaballs,Feta Balls,3020-cheese-fetaballs,Y,Alex Likissas,,,,,,,,,,,,
,3030,cheese,smoked mozzarella,Smoked Mozzarella,3030-cheese-smoked mozzarella,Y,John Brassell,,,,,,,,,,,,
,3031,cheese,smoked mozzarella,Smoked Mozzarella,3031-cheese-smoked mozzarella,Y,John Brassell,,,,,,,,,,,,
,3032,cheese,smoked mozzarella,Smoked Mozzarella,3032-cheese-smoked mozzarella,Y,John Brassell,,,,,,,,,,,,
,3040,cheese,goat,Goat Cheese,3040-cheese-goat,Y,Bobby 0xelrod,,,,,,,,,,,,
,3050,cheese,czech,Czech,3050-cheese-czech,Y,,,,,,,,,,,,,
,3070,cheese,provolone,,3070-cheese-provolone,Y,,,,,,,,,,,,,
,3071,cheese,provolone,,3071-cheese-provolone,Y,,,,,,,,,,,,,
,3080,cheese,,,3080-cheese-,N,,,,,,,,,,,,,
,3090,cheese,chezdoge,Chez Doge,3090-cheese-chezdoge,Y,Shrimp,,,,,,,,,,,,
,4000,topping-meat,pepperoni,Pepperoni,4000-topping-meat-pepperoni,Y,Zedarius,,,0.9,35,375,,,,,,,
,4010,topping-meat,salami,Salami,4010-topping-meat-salami,Y,Mike Wert,,,,,,,,,,,,
,4020,topping-meat,turkeysausage,Tukey Sausage,4020-topping-meat-turkeysausage,Y,Brandon Forant,,,,,,,,,,,,
,4021,topping-meat,turkeysausage,Tukey Sausage,4021-topping-meat-turkeysausage,Y,Brandon Forant,,,,,,,,,,,,
,4030,topping-meat,spam,,4030-topping-meat-spam,N,,,,,,,,,,,,,
,4040,topping-meat,ham,,4040-topping-meat-ham,N,,,,,,,,,,,,,
,4050,topping-meat,duck,,4050-topping-meat-duck,N,,,,,,,,,,,,,
,4060,topping-meat,turkey,,4060-topping-meat-turkey,N,,,,,,,,,,,,,
,4070,topping-meat,prosciutto,,4070-topping-meat-prosciutto,N,,,,,,,,,,,,,
,4080,topping-meat,zombie,,4080-topping-meat-zombie,N,,,,,,,,,,,,,
,4090,topping-meat,beef,,4090-topping-meat-beef,N,,,,,,,,,,,,,
,4100,topping-meat,chickentikka,,4100-topping-meat-chickentikka,N,,,,,,,,,,,,,
,4110,topping-meat,chorizo,,4110-topping-meat-chorizo,N,,,,,,,,,,,,,
,4120,topping-meat,bbqchicken,,4120-topping-meat-bbqchicken,N,,,,,,,,,,,,,
,4130,topping-meat,bacon,,4130-topping-meat-bacon,N,,,,,,,,,,,,,
,4140,topping-meat,venison,,4140-topping-meat-venison,N,,,,,,,,,,,,,
,4150,topping-meat,sausage,,4150-topping-meat-sausage,N,,,,,,,,,,,,,
,4160,topping-meat,meatballs,,4160-topping-meat-meatballs,N,,,,,,,,,,,,,
,4170,topping-meat,dumpling,,4170-topping-meat-dumpling,N,,,,,,,,,,,,,
,4180,topping-meat,buffalochicken,,4180-topping-meat-buffalochicken,N,,,,,,,,,,,,,
,4190,topping-meat,charsiupork,Char Siu Pork,4190-topping-meat-charsiupork,N,,,,,,,,,,,,,
,4200,topping-meat,cheeseburger,Cheeseburger,4200-topping-meat-cheeseburger,N,,,,,,,,,,,,,
,4210,topping-meat,handpinchedsausage,Hand Pinched Sausage,4210-topping-meat-handpinchedsausage,N,,,,,,,,,,,,,
,4210,topping-meat,vegansausage,,4210-topping-meat-vegansausage,Y,,,,,,,,,,,,,
,5000,topping-fruit,tomato,Tomato,5000-topping-fruit-tomato,Y,Jim,,,,,,,,,,,,
,5010,topping-fruit,greenpapaya,Green Papaya,5010-topping-fruit-greenpapaya,N,,,,,,,,,,,,,
,5020,topping-fruit,pineapple,Pineapple,5020-topping-fruit-pineapple,N,,,,,,,,,,,,,
,5030,topping-fruit,olives,Olives,5030-topping-fruit-olives,N,,,,,,,,,,,,,
,5040,topping-fruit,kiwi,Kiwi,5040-topping-fruit-kiwi,N,,,,,,,,,,,,,
,5050,topping-fruit,watermelon,Watermelon,5050-topping-fruit-watermelon,Y,TDogNasty,,,,,,,,,,,,
,5051,topping-fruit,watermelon,Watermelon,5051-topping-fruit-watermelon,Y,TDogNasty,,,,,,,,,,,,
,5052,topping-fruit,watermelon,Watermelon,5052-topping-fruit-watermelon,Y,TDogNasty,,,,,,,,,,,,
,5053,topping-fruit,watermelon,Watermelon,5053-topping-fruit-watermelon,Y,TDogNasty,,,,,,,,,,,,
,5400,topping-fungi,mushrooms,Mushrooms,5400-topping-fungi-mushrooms,N,,,,,,,,,,,,,
,5410,topping-fungi,truffles,,5410-topping-fungi-truffles,N,,,,,,,,,,,,,
,5420,topping-fungi,magicmushroom,Magic Mushroom,5420-topping-fungi-magicmushroom,,,,,,,,,,,,,,
,5421,topping-fungi,magicmushroom,Magic Mushroom,5421-topping-fungi-magicmushroom,,,,,,,,,,,,,,
,5422,topping-fungi,magicmushroom,Magic Mushroom,5422-topping-fungi-magicmushroom,,,,,,,,,,,,,,
,5430,topping-fungi,spaceshroom,Space Shroom,5430-topping-fungi-spaceshroom,,TK Al-Mahti,,,,,,,,,,,,
,5431,topping-fungi,spaceshroom,Space Shroom,5431-topping-fungi-spaceshroom,,TK Al-Mahti,,,,,,,,,,,,
,5440,topping-fungi,porcini,Porcini,5440-topping-fungi-porcini,,,,,,,,,,,,,,
,5441,topping-fungi,porcini,Porcini,5441-topping-fungi-porcini,,,,,,,,,,,,,,
,5450,topping-fungi,trufflepig,Truffle Pig,5450-topping-fungi-trufflepig,,,,,,,,,,,,,,
,5451,topping-fungi,trufflepig,Truffle Pig,5451-topping-fungi-trufflepig,,,,,,,,,,,,,,
,5500,topping-nut,pistachios,BentleGiant,5500-topping-nut-pistachios,N,,,,,,,,,,,,,
,5510,topping-nut,pinenuts,Carlos,5510-topping-nut-pinenuts,N,,,,,,,,,,,,,
,5520,topping-nut,peanuts,Edom,5520-topping-nut-peanuts,N,,,,,,,,,,,,,
,5530,topping-nut,pecans,,5530-topping-nut-pecans,N,,,,,,,,,,,,,
,6000,topping-seafood,shrimp,Shrimp,6000-topping-seafood-shrimp,Y,Anthony Shafer,,,,,,,,,,,,
,6010,topping-seafood,anchovies,,6010-topping-seafood-anchovies,N,,,,,,,,,,,,,
,6020,topping-seafood,lobster,,6020-topping-seafood-lobster,N,,,,,,,,,,,,,
,6030,topping-seafood,tuna,,6030-topping-seafood-tuna,N,,,,,,,,,,,,,
,6040,topping-seafood,salmon,,6040-topping-seafood-salmon,N,,,,,,,,,,,,,
,6050,topping-seafood,squid,,6050-topping-seafood-squid,N,,,,,,,,,,,,,
,6060,topping-seafood,smokedsalmon,,6060-topping-seafood-smokedsalmon,N,,,,,,,,,,,,,
,6070,topping-seafood,calamari,,6070-topping-seafood-calamari,N,,,,,,,,,,,,,
,6200,topping-bugs,crickets,Crickets,6200-topping-bugs-crickets,Y,AJ,,,,,,,,,,,,
,6201,topping-bugs,crickets,Crickets,6201-topping-bugs-crickets,Y,AJ,,,,,,,,,,,,
,6210,topping-bugs,worms,Worms,6210-topping-bugs-worms,Y,Stephen Judge,,,,,,,,,,,,
,6220,topping-bugs,wasp,,6220-topping-bugs-wasp,Y,,,,,,,,,,,,,
,6230,topping-bugs,cicada,,6230-topping-bugs-cicada,Y,,,,,,,,,,,,,
,6400,topping-eggs,dino,,6400-topping-eggs-dino,Y,,,,,,,,,,,,,
,6400,topping-eggs,gold,,6400-topping-eggs-gold,Y,,,,,,,,,,,,,
,6500,topping-space,astronaut,Astronaut,6500-topping-space-astronaut,N,Anthony Shafer,,,,,,,,,,,,
,6510,topping-space,lunarlander,Lunar Lander,6510-topping-space-lunarlander,N,Anthony Shafer,,,,,,,,,,,,
,6520,topping-space,sputnik,Sputnik,6520-topping-space-sputnik,N,,,,,,,,,,,,,
,6530,topping-space,,,6530-topping-space-,N,,,,,,,,,,,,,
,6700,topping-misc,,,6700-topping-misc-,N,,,,,,,,,,,,,
,6800,topping-candy,snaprocks,Snap Rocks,6800-topping-candy-snaprocks,N,Roze,,,,,,,,,,,,
,6810,topping-candy,,,6810-topping-candy-,N,,,,,,,,,,,,,
,6900,topping-crypto,swoledoge,,6900-topping-crypto-swoledoge,N,,,,,,,,,,,,,
,8000,extra-special,laszlo,,8000-extra-special-laszlo,N,,,,,,,,,,,,,
,8010,extra-special,rockandrolltesla,,8010-extra-special-rockandrolltesla,N,,,,,,,,,,,,,
,8020,extra-special,poplogo,Exploding Snap Rocks,8020-extra-special-poplogo,N,Roze,,,,,,,,,,,,
,8230,extra-squirt,mayo,,8230-extra-squirt-mayo,N,,,,,,,,,,,,,
,8500,cheese,korbacik,,8500-cheese-korbacik,Y,,,,,,,,,,,,,
,8510,extra-cheese,feta,Feta,8510-extra-cheese-feta,N,Anthony Moore,,,,,,,,,,,,
,9000,seasoning-spice,glitter,Red glitter Sauce ,9000-seasoning-spice-glitter,N,Lauren Simon,,,,,,,,,,,,
,9010,seasoning-spice,cardamon,,9010-seasoning-spice-cardamon,N,,,,,,,,,,,,,
,9020,seasoning-spice,paprika,,9020-seasoning-spice-paprika,N,,,,,,,,,,,,,
,9030,seasoning-spice,blackpepper,,9030-seasoning-spice-blackpepper,N,,,,,,,,,,,,,
,9040,seasoning-spice,pepperflakes,,9040-seasoning-spice-pepperflakes,N,,,,,,,,,,,,,
,9050,seasoning-spice,garlicpowder,,9050-seasoning-spice-garlicpowder,N,,,,,,,,,,,,,
,,,,,,N,,,,,,,,,,,,,
,,,,,,N,,,,,,,,,,,,,